X,Y,Z,dX,dY,dZ,Tangent
0.791575,0.791575,0,0.184867,0.184867,0,0.261442
0.793409,0.793409,0,0.181971,0.181971,0,0.257346
0.795215,0.795215,0,0.179193,0.179193,0,0.253418
0.796994,0.796994,0,0.176534,0.176534,0,0.249656
0.798746,0.798746,0,0.173993,0.173993,0,0.246063
0.800474,0.800474,0,0.17157,0.17157,0,0.242636
0.802178,0.802178,0,0.169266,0.169266,0,0.239378
0.80386,0.80386,0,0.16708,0.16708,0,0.236286
0.80552,0.80552,0,0.165012,0.165012,0,0.233362
0.80716,0.80716,0,0.163063,0.163063,0,0.230605
0.808782,0.808782,0,0.161232,0.161232,0,0.228016
0.810385,0.810385,0,0.159519,0.159519,0,0.225594
0.811972,0.811972,0,0.157925,0.157925,0,0.22334
0.813544,0.813544,0,0.156449,0.156449,0,0.221253
0.815102,0.815102,0,0.155092,0.155092,0,0.219333
0.816646,0.816646,0,0.153853,0.153853,0,0.217581
0.818179,0.818179,0,0.152733,0.152733,0,0.215997
0.819701,0.819701,0,0.15173,0.15173,0,0.214579
0.821214,0.821214,0,0.150847,0.150847,0,0.213329
0.822719,0.822719,0,0.150081,0.150081,0,0.212247
0.824216,0.824216,0,0.149434,0.149434,0,0.211332
0.825708,0.825708,0,0.148905,0.148905,0,0.210584
0.827195,0.827195,0,0.148495,0.148495,0,0.210004
0.828678,0.828678,0,0.148203,0.148203,0,0.209591
0.830159,0.830159,0,0.14803,0.14803,0,0.209345
0.831639,0.831639,0,0.147974,0.147974,0,0.209267
0.833119,0.833119,0,0.148038,0.148038,0,0.209357
0.8346,0.8346,0,0.148219,0.148219,0,0.209614
0.836084,0.836084,0,0.148519,0.148519,0,0.210038
0.837571,0.837571,0,0.148938,0.148938,0,0.21063
0.839063,0.839063,0,0.149474,0.149474,0,0.211389
0.840561,0.840561,0,0.150129,0.150129,0,0.212315
0.842066,0.842066,0,0.150903,0.150903,0,0.213409
0.843579,0.843579,0,0.151795,0.151795,0,0.21467
0.845102,0.845102,0,0.152805,0.152805,0,0.216099
0.846636,0.846636,0,0.153934,0.153934,0,0.217695
0.848181,0.848181,0,0.155181,0.155181,0,0.219459
0.84974,0.84974,0,0.156546,0.156546,0,0.221389
0.851313,0.851313,0,0.15803,0.15803,0,0.223488
0.852901,0.852901,0,0.159632,0.159632,0,0.225754
0.854506,0.854506,0,0.161352,0.161352,0,0.228187
0.856128,0.856128,0,0.163191,0.163191,0,0.230787
0.85777,0.85777,0,0.165149,0.165149,0,0.233555
0.859432,0.859432,0,0.167224,0.167224,0,0.236491
0.861115,0.861115,0,0.169418,0.169418,0,0.239594
0.86282,0.86282,0,0.171731,0.171731,0,0.242864
0.86455,0.86455,0,0.174162,0.174162,0,0.246302
0.866304,0.866304,0,0.176711,0.176711,0,0.249907
0.868084,0.868084,0,0.179378,0.179378,0,0.253679
0.869892,0.869892,0,0.182164,0.182164,0,0.257619
0.871728,0.871728,0,0.185069,0.185069,0,0.261726
0.873594,0.873594,0,0.188091,0.188091,0,0.266001
0.87549,0.87549,0,0.191232,0.191232,0,0.270443
0.877419,0.877419,0,0.194492,0.194492,0,0.275053
0.879381,0.879381,0,0.19787,0.19787,0,0.27983
0.881377,0.881377,0,0.201366,0.201366,0,0.284774
0.883408,0.883408,0,0.20498,0.20498,0,0.289886
0.885477,0.885477,0,0.208713,0.208713,0,0.295165
0.887583,0.887583,0,0.212565,0.212565,0,0.300612
0.889728,0.889728,0,0.216535,0.216535,0,0.306226
0.891914,0.891914,0,0.220623,0.220623,0,0.312008
0.894141,0.894141,0,0.224829,0.224829,0,0.317956
0.896411,0.896411,0,0.229154,0.229154,0,0.324073
0.898725,0.898725,0,0.233597,0.233597,0,0.330356
0.901083,0.901083,0,0.238159,0.238159,0,0.336808
0.903488,0.903488,0,0.242839,0.242839,0,0.343426
0.905941,0.905941,0,0.247637,0.247637,0,0.350212
0.908441,0.908441,0,0.252554,0.252554,0,0.357165
0.910992,0.910992,0,0.257589,0.257589,0,0.364286
0.913594,0.913594,0,0.262743,0.262743,0,0.371574
0.916247,0.916247,0,0.268015,0.268015,0,0.37903
0.918954,0.918954,0,0.273405,0.273405,0,0.386653
0.921716,0.921716,0,0.278914,0.278914,0,0.394443
0.924533,0.924533,0,0.284541,0.284541,0,0.402401
0.927407,0.927407,0,0.290286,0.290286,0,0.410527
0.930339,0.930339,0,0.29615,0.29615,0,0.418819
0.930339,0.930339,0,0.29615,0.29615,0,0.418819
0.93333,0.93333,0,0.302043,0.302043,0,0.427154
0.93638,0.93638,0,0.307878,0.307878,0,0.435405
0.939487,0.939487,0,0.313653,0.313653,0,0.443572
0.942653,0.942653,0,0.319369,0.319369,0,0.451656
0.945875,0.945875,0,0.325026,0.325026,0,0.459656
0.949153,0.949153,0,0.330623,0.330623,0,0.467572
